model_name,tokenizer_robustness_completion_farsi_romanization
Comma,2.31
Llama-3.2,2.115
Phi-3,2.283
GPT-2,2.23
GPT-4o,1.987
BLOOM,2.04
XGLM,1.819
Tekken,2.142
ByT5,4.982
mBERT,1.969
Qwen-3,2.221
TokenMonster,3.066
Gemma-2,1.912
Aya,1.996
