model_name,tokenizer_robustness_completion_farsi_arabic_keyboard_for_farsi
Comma,4.39
Llama-3.2,2.146
Phi-3,4.78
GPT-2,4.634
GPT-4o,2.075
BLOOM,1.976
XGLM,1.626
Tekken,2.114
ByT5,7.492
mBERT,2.091
Qwen-3,2.287
TokenMonster,7.768
Gemma-2,2.035
Aya,2.193
