model_name,tokenizer_robustness_completion_farsi_code_language_script_switching
Comma,3.264
Llama-3.2,1.579
Phi-3,3.492
GPT-2,3.528
GPT-4o,1.567
BLOOM,1.693
XGLM,1.181
Tekken,1.654
ByT5,6.287
mBERT,1.335
Qwen-3,1.976
TokenMonster,5.461
Gemma-2,1.516
Aya,1.551
