model_name,tokenizer_robustness_completion_farsi_dialects
Comma,4.575
Llama-3.2,2.092
Phi-3,4.853
GPT-2,5.004
GPT-4o,2.086
BLOOM,2.124
XGLM,1.565
Tekken,2.109
ByT5,7.642
mBERT,1.815
Qwen-3,2.655
TokenMonster,7.75
Gemma-2,1.979
Aya,2.047
