model_name,tokenizer_robustness_completion_farsi_colloquial
Comma,4.077
Llama-3.2,1.91
Phi-3,4.408
GPT-2,4.481
GPT-4o,1.88
BLOOM,1.88
XGLM,1.348
Tekken,1.927
ByT5,6.858
mBERT,1.635
Qwen-3,2.361
TokenMonster,6.931
Gemma-2,1.794
Aya,1.85
