model_name,tokenizer_robustness_completion_farsi_canonical
Comma,4.438
Llama-3.2,1.918
Phi-3,4.738
GPT-2,4.914
GPT-4o,1.906
BLOOM,2.008
XGLM,1.293
Tekken,1.934
ByT5,7.457
mBERT,1.504
Qwen-3,2.508
TokenMonster,7.551
Gemma-2,1.801
Aya,1.828
