model_name,tokenizer_robustness_completion_farsi_number_romanization
Comma,3.934
Llama-3.2,1.82
Phi-3,4.738
GPT-2,4.41
GPT-4o,1.754
BLOOM,1.836
XGLM,1.213
Tekken,2.033
ByT5,7.049
mBERT,1.41
Qwen-3,2.492
TokenMonster,6.787
Gemma-2,1.869
Aya,1.885
