model_name,tokenizer_robustness_completion_farsi_word_spacing_zero-width_characters_extra_space
Comma,4.781
Llama-3.2,2.181
Phi-3,4.833
GPT-2,5.23
GPT-4o,2.226
BLOOM,2.348
XGLM,1.467
Tekken,2.204
ByT5,7.926
mBERT,1.519
Qwen-3,2.737
TokenMonster,8.007
Gemma-2,2.115
Aya,2.141
