model_name,tokenizer_robustness_completion_chinese_partially_romanized
Comma,1.95
Llama-3.2,1.477
Phi-3,2.746
GPT-2,2.505
GPT-4o,1.43
BLOOM,1.33
XGLM,2.018
Tekken,1.627
ByT5,4.412
mBERT,1.606
Qwen-3,1.412
TokenMonster,4.039
Gemma-2,1.341
Aya,1.366
