model_name,tokenizer_robustness_completion_chinese_optional_diacritics
Comma,1.179
Llama-3.2,1.035
Phi-3,1.335
GPT-2,1.179
GPT-4o,1.041
BLOOM,1.001
XGLM,1.106
Tekken,1.073
ByT5,1.705
mBERT,1.041
Qwen-3,1.023
TokenMonster,1.31
Gemma-2,1.018
Aya,1.019
