model_name,tokenizer_robustness_completion_chinese_colloquial
Comma,2.159
Llama-3.2,1.39
Phi-3,2.928
GPT-2,2.955
GPT-4o,1.341
BLOOM,1.148
XGLM,2.106
Tekken,1.519
ByT5,4.527
mBERT,1.538
Qwen-3,1.182
TokenMonster,4.458
Gemma-2,1.212
Aya,1.212
