model_name,tokenizer_robustness_completion_chinese_equivalent_expressions
Comma,2.113
Llama-3.2,1.378
Phi-3,2.928
GPT-2,2.89
GPT-4o,1.337
BLOOM,1.141
XGLM,2.089
Tekken,1.564
ByT5,4.598
mBERT,1.553
Qwen-3,1.179
TokenMonster,4.502
Gemma-2,1.216
Aya,1.213
