model_name,tokenizer_robustness_completion_chinese_romanization
Comma,1.428
Llama-3.2,1.331
Phi-3,1.73
GPT-2,1.343
GPT-4o,1.22
BLOOM,1.229
XGLM,1.281
Tekken,1.369
ByT5,2.846
mBERT,1.383
Qwen-3,1.359
TokenMonster,1.856
Gemma-2,1.076
Aya,1.175
