model_name,tokenizer_robustness_completion_chinese_ocr_errors
Comma,2.09
Llama-3.2,1.419
Phi-3,2.975
GPT-2,2.746
GPT-4o,1.419
BLOOM,1.237
XGLM,2.082
Tekken,1.616
ByT5,4.409
mBERT,1.513
Qwen-3,1.297
TokenMonster,4.344
Gemma-2,1.305
Aya,1.319
