model_name,tokenizer_robustness_completion_chinese_canonical
Comma,2.028
Llama-3.2,1.324
Phi-3,2.865
GPT-2,2.726
GPT-4o,1.295
BLOOM,1.11
XGLM,2.018
Tekken,1.509
ByT5,4.409
mBERT,1.512
Qwen-3,1.171
TokenMonster,4.345
Gemma-2,1.196
Aya,1.192
