model_name,tokenizer_robustness_completion_chinese_space_removal
Comma,1.296
Llama-3.2,1.201
Phi-3,1.618
GPT-2,1.397
GPT-4o,1.2
BLOOM,1.17
XGLM,1.31
Tekken,1.256
ByT5,2.118
mBERT,1.238
Qwen-3,1.189
TokenMonster,1.611
Gemma-2,1.153
Aya,1.17
