model_name,tokenizer_robustness_completion_chinese_word_spacing_zero-width_characters_extra_space
Comma,1.897
Llama-3.2,1.259
Phi-3,2.734
GPT-2,2.551
GPT-4o,1.239
BLOOM,1.096
XGLM,1.96
Tekken,1.422
ByT5,4.096
mBERT,1.412
Qwen-3,1.146
TokenMonster,4.043
Gemma-2,1.169
Aya,1.166
