model_name,tokenizer_robustness_completion_math_latex
Comma,0.225
Llama-3.2,0.105
Phi-3,0.204
GPT-2,0.147
GPT-4o,0.109
BLOOM,0.116
XGLM,0.186
Tekken,0.168
ByT5,0.509
mBERT,0.116
Qwen-3,0.144
TokenMonster,0.26
Gemma-2,0.102
Aya,0.13
