model_name,tokenizer_robustness_completion_math_canonical
Comma,0.302
Llama-3.2,0.124
Phi-3,0.267
GPT-2,0.183
GPT-4o,0.129
BLOOM,0.134
XGLM,0.218
Tekken,0.228
ByT5,0.708
mBERT,0.139
Qwen-3,0.183
TokenMonster,0.351
Gemma-2,0.124
Aya,0.163
