model_name,tokenizer_robustness_completion_math_space_removal
Comma,0.42
Llama-3.2,0.223
Phi-3,0.268
GPT-2,0.28
GPT-4o,0.223
BLOOM,0.229
XGLM,0.293
Tekken,0.274
ByT5,0.822
mBERT,0.242
Qwen-3,0.236
TokenMonster,0.465
Gemma-2,0.172
Aya,0.21
