model_name,tokenizer_robustness_completion_math_chinese
Comma,0.5
Llama-3.2,0.483
Phi-3,0.707
GPT-2,0.552
GPT-4o,0.483
BLOOM,0.379
XGLM,0.5
Tekken,0.517
ByT5,0.621
mBERT,0.552
Qwen-3,0.448
TokenMonster,0.603
Gemma-2,0.448
Aya,0.448
