model_name,tokenizer_robustness_completion_math_spelled_out
Comma,0.341
Llama-3.2,0.125
Phi-3,0.068
GPT-2,0.197
GPT-4o,0.144
BLOOM,0.197
XGLM,0.193
Tekken,0.208
ByT5,0.879
mBERT,0.087
Qwen-3,0.125
TokenMonster,0.511
Gemma-2,0.019
Aya,0.08
