model_name,tokenizer_robustness_completion_math_italian
Comma,0.36
Llama-3.2,0.33
Phi-3,0.463
GPT-2,0.365
GPT-4o,0.31
BLOOM,0.34
XGLM,0.286
Tekken,0.384
ByT5,0.704
mBERT,0.232
Qwen-3,0.389
TokenMonster,0.429
Gemma-2,0.35
Aya,0.384
