model_name,tokenizer_robustness_completion_math_farsi
Comma,0.881
Llama-3.2,0.374
Phi-3,0.881
GPT-2,0.881
GPT-4o,0.392
BLOOM,0.471
XGLM,0.189
Tekken,0.414
ByT5,0.885
mBERT,0.194
Qwen-3,0.573
TokenMonster,0.885
Gemma-2,0.366
Aya,0.388
