model_name,tokenizer_robustness_completion_math_farsi
Comma,3.537
Llama-3.2,1.59
Phi-3,4.119
GPT-2,3.762
GPT-4o,1.621
BLOOM,1.824
XGLM,1.278
Tekken,1.643
ByT5,5.648
mBERT,1.366
Qwen-3,2.198
TokenMonster,6.128
Gemma-2,1.564
Aya,1.626
