model_name,tokenizer_robustness_completion_math_decorative_unicode
Comma,2.748
Llama-3.2,2.515
Phi-3,3.322
GPT-2,2.901
GPT-4o,2.455
BLOOM,2.47
XGLM,1.406
Tekken,2.752
ByT5,4.604
mBERT,1.396
Qwen-3,2.134
TokenMonster,3.842
Gemma-2,1.743
Aya,2.5
