model_name,tokenizer_robustness_completion_math_chinese
Comma,6.052
Llama-3.2,4.517
Phi-3,6.948
GPT-2,8.5
GPT-4o,4.483
BLOOM,3.569
XGLM,4.431
Tekken,5.224
ByT5,12.828
mBERT,4.966
Qwen-3,4.155
TokenMonster,12.638
Gemma-2,4.138
Aya,4.138
