model_name,tokenizer_robustness_completion_math_space_removal
Comma,1.783
Llama-3.2,1.529
Phi-3,1.866
GPT-2,1.656
GPT-4o,1.541
BLOOM,1.478
XGLM,1.484
Tekken,1.764
ByT5,3.987
mBERT,1.605
Qwen-3,1.701
TokenMonster,1.885
Gemma-2,1.631
Aya,1.688
