model_name,tokenizer_robustness_completion_farsi_romanization
Comma,0.668
Llama-3.2,0.642
Phi-3,0.664
GPT-2,0.655
GPT-4o,0.584
BLOOM,0.588
XGLM,0.571
Tekken,0.633
ByT5,0.903
mBERT,0.597
Qwen-3,0.659
TokenMonster,0.748
Gemma-2,0.553
Aya,0.58
