model_name,tokenizer_robustness_completion_farsi_word_spacing_zero-width_characters_extra_space
Comma,0.878
Llama-3.2,0.604
Phi-3,0.896
GPT-2,0.889
GPT-4o,0.6
BLOOM,0.633
XGLM,0.289
Tekken,0.611
ByT5,0.974
mBERT,0.344
Qwen-3,0.7
TokenMonster,0.937
Gemma-2,0.544
Aya,0.537
