model_name,tokenizer_robustness_completion_farsi_arabic_keyboard_for_farsi
Comma,0.882
Llama-3.2,0.646
Phi-3,0.898
GPT-2,0.882
GPT-4o,0.63
BLOOM,0.602
XGLM,0.417
Tekken,0.661
ByT5,0.98
mBERT,0.591
Qwen-3,0.65
TokenMonster,0.941
Gemma-2,0.587
Aya,0.626
