model_name,tokenizer_robustness_completion_farsi_dialects
Comma,0.884
Llama-3.2,0.65
Phi-3,0.902
GPT-2,0.896
GPT-4o,0.636
BLOOM,0.655
XGLM,0.352
Tekken,0.646
ByT5,0.967
mBERT,0.45
Qwen-3,0.741
TokenMonster,0.935
Gemma-2,0.582
Aya,0.608
