model_name,tokenizer_robustness_completion_farsi_spelled_out
Comma,0.908
Llama-3.2,0.575
Phi-3,0.966
GPT-2,0.908
GPT-4o,0.517
BLOOM,0.586
XGLM,0.161
Tekken,0.54
ByT5,0.966
mBERT,0.276
Qwen-3,0.782
TokenMonster,0.966
Gemma-2,0.414
Aya,0.448
