model_name,tokenizer_robustness_completion_farsi_canonical
Comma,0.875
Llama-3.2,0.598
Phi-3,0.891
GPT-2,0.887
GPT-4o,0.582
BLOOM,0.602
XGLM,0.23
Tekken,0.594
ByT5,0.973
mBERT,0.301
Qwen-3,0.715
TokenMonster,0.934
Gemma-2,0.512
Aya,0.547
