model_name,tokenizer_robustness_completion_turkish_word_reordering
Comma,3.307
Llama-3.2,2.472
Phi-3,3.358
GPT-2,3.454
GPT-4o,2.422
BLOOM,2.807
XGLM,1.826
Tekken,2.615
ByT5,6.546
mBERT,2.188
Qwen-3,2.752
TokenMonster,4.514
Gemma-2,2.431
Aya,2.367
