model_name,tokenizer_robustness_completion_turkish_grammatical_errors
Comma,3.281
Llama-3.2,2.456
Phi-3,3.294
GPT-2,3.263
GPT-4o,2.413
BLOOM,2.719
XGLM,1.719
Tekken,2.556
ByT5,6.456
mBERT,2.094
Qwen-3,2.675
TokenMonster,4.406
Gemma-2,2.281
Aya,2.306
