model_name,tokenizer_robustness_completion_turkish_web_search_query
Comma,3.014
Llama-3.2,2.326
Phi-3,3.049
GPT-2,3.049
GPT-4o,2.229
BLOOM,2.5
XGLM,1.694
Tekken,2.458
ByT5,5.806
mBERT,2.069
Qwen-3,2.486
TokenMonster,3.896
Gemma-2,2.16
Aya,2.229
