model_name,tokenizer_robustness_completion_turkish_colloquial
Comma,3.12
Llama-3.2,2.445
Phi-3,3.125
GPT-2,3.22
GPT-4o,2.39
BLOOM,2.645
XGLM,1.82
Tekken,2.565
ByT5,6.145
mBERT,2.075
Qwen-3,2.605
TokenMonster,4.14
Gemma-2,2.26
Aya,2.265
