model_name,tokenizer_robustness_completion_turkish_english_keyboard
Comma,2.766
Llama-3.2,2.383
Phi-3,2.775
GPT-2,2.732
GPT-4o,2.306
BLOOM,2.402
XGLM,2.014
Tekken,2.44
ByT5,5.928
mBERT,2.211
Qwen-3,2.598
TokenMonster,3.722
Gemma-2,2.273
Aya,2.244
