model_name,tokenizer_robustness_completion_turkish_date_formats
Comma,3.164
Llama-3.2,2.612
Phi-3,3.642
GPT-2,3.179
GPT-4o,2.627
BLOOM,2.597
XGLM,1.881
Tekken,3.179
ByT5,6.03
mBERT,2.045
Qwen-3,3.209
TokenMonster,4.299
Gemma-2,3.0
Aya,2.985
