model_name,tokenizer_robustness_completion_turkish_equivalent_expressions
Comma,3.183
Llama-3.2,2.431
Phi-3,3.183
GPT-2,3.275
GPT-4o,2.385
BLOOM,2.706
XGLM,1.688
Tekken,2.532
ByT5,6.349
mBERT,2.11
Qwen-3,2.624
TokenMonster,4.404
Gemma-2,2.22
Aya,2.257
