model_name,tokenizer_robustness_completion_turkish_dialects
Comma,3.33
Llama-3.2,2.689
Phi-3,3.401
GPT-2,3.425
GPT-4o,2.585
BLOOM,2.83
XGLM,1.92
Tekken,2.726
ByT5,6.599
mBERT,2.33
Qwen-3,2.816
TokenMonster,4.618
Gemma-2,2.519
Aya,2.514
