model_name,tokenizer_robustness_completion_turkish_canonical
Comma,3.293
Llama-3.2,2.488
Phi-3,3.385
GPT-2,3.459
GPT-4o,2.42
BLOOM,2.844
XGLM,1.795
Tekken,2.6
ByT5,6.624
mBERT,2.161
Qwen-3,2.746
TokenMonster,4.585
Gemma-2,2.395
Aya,2.337
