model_name,tokenizer_robustness_completion_turkish_derivations
Comma,3.658
Llama-3.2,2.708
Phi-3,3.685
GPT-2,3.758
GPT-4o,2.644
BLOOM,3.087
XGLM,1.886
Tekken,2.817
ByT5,7.1
mBERT,2.205
Qwen-3,2.918
TokenMonster,5.009
Gemma-2,2.534
Aya,2.511
