model_name,tokenizer_robustness_completion_turkish_keyboard_proximity_errors
Comma,3.2
Llama-3.2,2.494
Phi-3,3.259
GPT-2,3.323
GPT-4o,2.425
BLOOM,2.751
XGLM,1.9
Tekken,2.584
ByT5,6.325
mBERT,2.257
Qwen-3,2.687
TokenMonster,4.433
Gemma-2,2.333
Aya,2.32
