model_name,tokenizer_robustness_completion_turkish_code_language_script_switching
Comma,2.769
Llama-3.2,2.107
Phi-3,2.761
GPT-2,2.829
GPT-4o,2.085
BLOOM,2.393
XGLM,1.705
Tekken,2.209
ByT5,6.214
mBERT,1.936
Qwen-3,2.312
TokenMonster,3.786
Gemma-2,2.081
Aya,2.068
