model_name,tokenizer_robustness_completion_turkish_similar_words
Comma,4.069
Llama-3.2,2.708
Phi-3,3.75
GPT-2,4.069
GPT-4o,2.639
BLOOM,3.319
XGLM,2.333
Tekken,2.736
ByT5,7.431
mBERT,2.5
Qwen-3,2.875
TokenMonster,5.486
Gemma-2,2.653
Aya,2.556
