model_name,tokenizer_robustness_completion_turkish_similar_words
Comma,0.764
Llama-3.2,0.75
Phi-3,0.764
GPT-2,0.819
GPT-4o,0.75
BLOOM,0.75
XGLM,0.667
Tekken,0.75
ByT5,0.972
mBERT,0.639
Qwen-3,0.847
TokenMonster,0.958
Gemma-2,0.736
Aya,0.75
