model_name,tokenizer_robustness_completion_turkish_inflections
Comma,0.776
Llama-3.2,0.751
Phi-3,0.769
GPT-2,0.798
GPT-4o,0.747
BLOOM,0.744
XGLM,0.545
Tekken,0.751
ByT5,0.899
mBERT,0.588
Qwen-3,0.787
TokenMonster,0.87
Gemma-2,0.708
Aya,0.726
