model_name,tokenizer_robustness_completion_turkish_word_reordering
Comma,0.771
Llama-3.2,0.743
Phi-3,0.752
GPT-2,0.807
GPT-4o,0.734
BLOOM,0.725
XGLM,0.555
Tekken,0.757
ByT5,0.899
mBERT,0.606
Qwen-3,0.748
TokenMonster,0.885
Gemma-2,0.697
Aya,0.706
