model_name,tokenizer_robustness_completion_turkish_spelled_out
Comma,0.649
Llama-3.2,0.629
Phi-3,0.753
GPT-2,0.649
GPT-4o,0.691
BLOOM,0.629
XGLM,0.454
Tekken,0.722
ByT5,0.928
mBERT,0.474
Qwen-3,0.742
TokenMonster,0.866
Gemma-2,0.691
Aya,0.639
