model_name,tokenizer_robustness_completion_turkish_colloquial
Comma,0.695
Llama-3.2,0.68
Phi-3,0.73
GPT-2,0.715
GPT-4o,0.67
BLOOM,0.67
XGLM,0.535
Tekken,0.71
ByT5,0.86
mBERT,0.535
Qwen-3,0.685
TokenMonster,0.795
Gemma-2,0.625
Aya,0.635
