model_name,tokenizer_robustness_completion_turkish_english_keyboard
Comma,0.756
Llama-3.2,0.737
Phi-3,0.761
GPT-2,0.77
GPT-4o,0.732
BLOOM,0.708
XGLM,0.675
Tekken,0.742
ByT5,0.909
mBERT,0.694
Qwen-3,0.775
TokenMonster,0.871
Gemma-2,0.694
Aya,0.713
