model_name,tokenizer_robustness_completion_turkish_dialects
Comma,0.745
Llama-3.2,0.731
Phi-3,0.755
GPT-2,0.802
GPT-4o,0.736
BLOOM,0.712
XGLM,0.561
Tekken,0.741
ByT5,0.906
mBERT,0.604
Qwen-3,0.745
TokenMonster,0.877
Gemma-2,0.693
Aya,0.722
