model_name,tokenizer_robustness_completion_turkish_code_language_script_switching
Comma,0.62
Llama-3.2,0.581
Phi-3,0.615
GPT-2,0.628
GPT-4o,0.585
BLOOM,0.603
XGLM,0.453
Tekken,0.637
ByT5,0.91
mBERT,0.474
Qwen-3,0.628
TokenMonster,0.838
Gemma-2,0.556
Aya,0.568
