model_name,tokenizer_robustness_completion_turkish_orthographic_errors
Comma,0.772
Llama-3.2,0.748
Phi-3,0.762
GPT-2,0.777
GPT-4o,0.757
BLOOM,0.738
XGLM,0.609
Tekken,0.762
ByT5,0.901
mBERT,0.634
Qwen-3,0.782
TokenMonster,0.876
Gemma-2,0.718
Aya,0.723
