model_name,tokenizer_robustness_completion_turkish_canonical
Comma,0.766
Llama-3.2,0.741
Phi-3,0.756
GPT-2,0.78
GPT-4o,0.751
BLOOM,0.727
XGLM,0.537
Tekken,0.756
ByT5,0.907
mBERT,0.595
Qwen-3,0.771
TokenMonster,0.883
Gemma-2,0.702
Aya,0.712
