model_name,tokenizer_robustness_completion_turkish_web_search_query
Comma,0.75
Llama-3.2,0.722
Phi-3,0.736
GPT-2,0.785
GPT-4o,0.729
BLOOM,0.694
XGLM,0.514
Tekken,0.729
ByT5,0.875
mBERT,0.597
Qwen-3,0.729
TokenMonster,0.833
Gemma-2,0.66
Aya,0.701
