model_name,tokenizer_robustness_completion_turkish_equivalent_expressions
Comma,0.798
Llama-3.2,0.743
Phi-3,0.789
GPT-2,0.798
GPT-4o,0.743
BLOOM,0.743
XGLM,0.523
Tekken,0.752
ByT5,0.89
mBERT,0.615
Qwen-3,0.761
TokenMonster,0.872
Gemma-2,0.688
Aya,0.716
