model_name,tokenizer_robustness_completion_italian_english_keyboard
Comma,1.675
Llama-3.2,1.542
Phi-3,1.471
GPT-2,1.647
GPT-4o,1.465
BLOOM,1.485
XGLM,1.193
Tekken,1.551
ByT5,3.557
mBERT,1.195
Qwen-3,1.589
TokenMonster,1.998
Gemma-2,1.336
Aya,1.413
