model_name,tokenizer_robustness_completion_italian_code_language_script_switching
Comma,1.569
Llama-3.2,1.417
Phi-3,1.37
GPT-2,1.493
GPT-4o,1.345
BLOOM,1.398
XGLM,1.146
Tekken,1.443
ByT5,3.745
mBERT,1.146
Qwen-3,1.457
TokenMonster,1.896
Gemma-2,1.252
Aya,1.314
