model_name,tokenizer_robustness_completion_italian_typographical_errors
Comma,1.803
Llama-3.2,1.643
Phi-3,1.565
GPT-2,1.764
GPT-4o,1.565
BLOOM,1.585
XGLM,1.336
Tekken,1.625
ByT5,3.944
mBERT,1.333
Qwen-3,1.669
TokenMonster,2.208
Gemma-2,1.415
Aya,1.508
