model_name,tokenizer_robustness_completion_italian_grammatical_errors
Comma,1.777
Llama-3.2,1.635
Phi-3,1.481
GPT-2,1.741
GPT-4o,1.518
BLOOM,1.542
XGLM,1.215
Tekken,1.578
ByT5,4.103
mBERT,1.208
Qwen-3,1.664
TokenMonster,2.203
Gemma-2,1.368
Aya,1.449
