model_name,tokenizer_robustness_completion_italian_spelled_out
Comma,1.559
Llama-3.2,1.505
Phi-3,1.523
GPT-2,1.534
GPT-4o,1.42
BLOOM,1.473
XGLM,1.196
Tekken,1.42
ByT5,3.662
mBERT,1.146
Qwen-3,1.569
TokenMonster,2.039
Gemma-2,1.352
Aya,1.399
